country_1,country_2,t_statistic,p_value
Afghanistan,Albania,9.591223610938114,7.089425150331004e-21
Afghanistan,Algeria,8.430718827534765,1.239557374222536e-16
Afghanistan,American Samoa,0.019695117493478968,0.9842936768213575
Afghanistan,Andorra,7.51460295904865,1.6352296744608678e-13
Afghanistan,Angola,2.2456035953343583,0.024955070363384756
Afghanistan,Antigua and Barbuda,9.149484317931629,3.325027700039285e-19
Afghanistan,Argentina,8.840502165978839,4.3487590212559e-18
Afghanistan,Armenia,8.523949594767117,5.752972178740664e-17
Afghanistan,Aruba,1.2588093728303646,0.20862937321750902
Afghanistan,Australia,10.147828125543612,4.615269329236912e-23
Afghanistan,Austria,10.069494793327948,9.193567249195766e-23
Afghanistan,Azerbaijan,7.901862411195765,7.342806969329586e-15
Afghanistan,"Bahamas, The",7.856629554214814,1.0500132890985993e-14
Afghanistan,Bahrain,9.887416493807002,4.884384029049963e-22
Afghanistan,Bangladesh,5.6265902399374035,2.406591788128965e-08
Afghanistan,Barbados,9.013927547128022,1.024079190895786e-18
Afghanistan,Belarus,7.922843875248304,6.372703911120592e-15
Afghanistan,Belgium,9.914407261824138,3.813114362734092e-22
Afghanistan,Belize,7.9415798245265234,5.443407770346619e-15
Afghanistan,Benin,1.6195053448541665,0.10566497245669637
Afghanistan,Bermuda,2.0660578361859114,0.03928731558320712
Afghanistan,Bhutan,6.755333761922493,2.4573653505350212e-11
Afghanistan,Bolivia,5.696582904533111,1.6215164522552167e-08
Afghanistan,Bosnia and Herzegovina,9.32214268529754,7.52781453074783e-20
Afghanistan,Botswana,3.476152791452838,0.0005310402030161806
Afghanistan,Brazil,8.094387848753419,1.6906479628901968e-15
Afghanistan,British Virgin Islands,5.955244827635303,4.054151896174786e-09
Afghanistan,Brunei Darussalam,9.172494441496209,2.6542150869066455e-19
Afghanistan,Bulgaria,8.799989622253754,6.1248629298423064e-18
Afghanistan,Burkina Faso,2.093150747820815,0.0365960325357306
Afghanistan,Burundi,1.257174180026397,0.20899443631218742
Afghanistan,Cabo Verde,8.05815242811268,2.235941028435569e-15
Afghanistan,Cambodia,5.138320468813624,3.3517244482781994e-07
Afghanistan,Cameroon,1.506178568441208,0.13234825478848122
Afghanistan,Canada,10.065563408343879,9.601314454280885e-23
Afghanistan,Cayman Islands,0.8221785425795823,0.411329000633343
Afghanistan,Central African Republic,-3.382867904042251,0.000746194164042674
Afghanistan,Chad,-2.0591383779738215,0.03974858588359521
Afghanistan,Channel Islands,2.778600522937417,0.005644571224370286
Afghanistan,Chile,9.679182433842376,3.1710414868805838e-21
Afghanistan,China,9.022538514180866,9.524102968054073e-19
Afghanistan,Colombia,8.539760086703716,5.0720465844457194e-17
Afghanistan,Comoros,4.521830802389721,6.892353980948835e-06
Afghanistan,"Congo, Dem. Rep.",1.1847042576772893,0.23642578472771386
Afghanistan,"Congo, Rep.",3.0577164224316142,0.0022916466828027736
Afghanistan,Costa Rica,9.586284265582073,7.273183986385924e-21
Afghanistan,Cote d'Ivoire,1.0166711637246584,0.3095644490000213
Afghanistan,Croatia,9.477416574717456,1.8919047156885494e-20
Afghanistan,Cuba,9.192152498309238,2.239619624442712e-19
Afghanistan,Curacao,1.321524819181647,0.18687191193055733
Afghanistan,Cyprus,10.320759877567472,8.966816330316025e-24
Afghanistan,Czechia,9.743202398269633,1.8030524736543143e-21
Afghanistan,Denmark,9.970941411184713,2.303406936435498e-22
Afghanistan,Djibouti,3.9326416310426566,9.003404274927938e-05
Afghanistan,Dominica,4.598392278181043,4.998272054430557e-06
Afghanistan,Dominican Republic,7.230698794673821,9.662391039225757e-13
Afghanistan,Ecuador,8.38816118898048,1.7022922301814445e-16
Afghanistan,"Egypt, Arab Rep.",7.914077711493278,6.708912455960114e-15
Afghanistan,El Salvador,7.624911018181735,5.775307839044052e-14
Afghanistan,Equatorial Guinea,3.084187761930252,0.002099165071175977
Afghanistan,Eritrea,3.03751077503245,0.0024494952420354254
Afghanistan,Estonia,8.899715750613343,2.6867010184342056e-18
Afghanistan,Eswatini,-0.05229247414804851,0.9583064611742894
Afghanistan,Ethiopia,1.4980879743335065,0.13443606982645306
Afghanistan,Faroe Islands,2.599861056838306,0.009574903702348234
Afghanistan,Fiji,6.810520067805739,1.6967898630654573e-11
Afghanistan,Finland,9.968906339229303,2.3089573208426564e-22
Afghanistan,France,9.894436708726955,4.603356378055962e-22
Afghanistan,French Polynesia,2.955444402864978,0.003255031946652341
Afghanistan,Gabon,5.300740299631723,1.4293775862282529e-07
Afghanistan,"Gambia, The",2.267653912966114,0.023570713994010947
Afghanistan,Georgia,8.15414915230086,1.074833728141787e-15
Afghanistan,Germany,10.056551963472918,1.0532404947749599e-22
Afghanistan,Ghana,3.772833276964515,0.00017121645693224556
Afghanistan,Gibraltar,2.666075745455957,0.007898330567025474
Afghanistan,Greece,10.203564620870477,2.662153359333136e-23
Afghanistan,Greenland,-1.2215001903138027,0.2224162284338119
Afghanistan,Grenada,8.587950848853993,3.437212981921058e-17
Afghanistan,Guam,0.4298469408695107,0.6674741245412124
Afghanistan,Guatemala,6.9118330674977955,8.609665651883966e-12
Afghanistan,Guinea,0.10654287253803563,0.9151737398775042
Afghanistan,Guinea-Bissau,0.11759695276715124,0.9064114906472701
Afghanistan,Guyana,5.390256847654752,8.820236957405086e-08
Afghanistan,Haiti,2.9311909107727123,0.0034561402561363377
Afghanistan,Honduras,7.805377416680805,1.5346798319420182e-14
Afghanistan,"Hong Kong SAR, China",2.7824435992033605,0.0055790788325720654
Afghanistan,Hungary,8.74068980022627,9.979251356888497e-18
Afghanistan,Iceland,10.282360348873448,1.3091635369398456e-23
Afghanistan,India,5.340105765230153,1.1568299789579763e-07
Afghanistan,Indonesia,6.210565405630807,7.82915524025603e-10
Afghanistan,"Iran, Islamic Rep.",8.884879578696928,3.0215494133632784e-18
Afghanistan,Iraq,6.871753618494315,1.1355802513572485e-11
Afghanistan,Ireland,10.129770583093578,5.333738629030416e-23
Afghanistan,Isle of Man,2.1037951459631343,0.03584646444419339
Afghanistan,Israel,10.404034073808527,4.047656086690159e-24
Afghanistan,Italy,10.348849575393166,6.92248236577455e-24
Afghanistan,Jamaica,7.8720048452697915,9.22092791711399e-15
Afghanistan,Japan,10.190521311504073,3.013244379233301e-23
Afghanistan,Jordan,8.883989468549624,3.1002800496785268e-18
Afghanistan,Kazakhstan,6.894970863878402,9.6475720951813e-12
Afghanistan,Kenya,3.645131781405806,0.00028148969109281216
